Survey,Wave,Country Numeric,Country ISO3,Region Numeric,Region Name,country,countrycode,countrycode_alpha2,adm_level,adm_area_1,adm_area_1_code,adm_area_2,adm_area_2_code,adm_area_3,adm_area_3_code,gid
EVS,1990-1993,840,USA,840004,US: East South Central,United States,USA,US,1,Alabama,USA.1_1,,,,,USA.1_1
EVS,1990-1993,840,USA,840004,US: East South Central,United States,USA,US,1,Kentucky,USA.18_1,,,,,USA.18_1
EVS,1990-1993,840,USA,840004,US: East South Central,United States,USA,US,1,Mississippi,USA.25_1,,,,,USA.25_1
EVS,1990-1993,840,USA,840004,US: East South Central,United States,USA,US,1,Tennessee,USA.43_1,,,,,USA.43_1
EVS,1990-1993,840,USA,840005,US: West South Central,United States,USA,US,1,Arkansas,USA.4_1,,,,,USA.4_1
EVS,1990-1993,840,USA,840005,US: West South Central,United States,USA,US,1,Louisiana,USA.19_1,,,,,USA.19_1
EVS,1990-1993,840,USA,840005,US: West South Central,United States,USA,US,1,Oklahoma,USA.37_1,,,,,USA.37_1
EVS,1990-1993,840,USA,840005,US: West South Central,United States,USA,US,1,Texas,USA.44_1,,,,,USA.44_1
EVS,1990-1993,840,USA,840006,US: East North Central,United States,USA,US,1,Illinois,USA.14_1,,,,,USA.14_1
EVS,1990-1993,840,USA,840006,US: East North Central,United States,USA,US,1,Indiana,USA.15_1,,,,,USA.15_1
EVS,1990-1993,840,USA,840006,US: East North Central,United States,USA,US,1,Michigan,USA.23_1,,,,,USA.23_1
EVS,1990-1993,840,USA,840006,US: East North Central,United States,USA,US,1,Ohio,USA.36_1,,,,,USA.36_1
EVS,1990-1993,840,USA,840006,US: East North Central,United States,USA,US,1,Wisconsin,USA.50_1,,,,,USA.50_1
EVS,1990-1993,840,USA,840007,US: West North Central,United States,USA,US,1,Iowa,USA.16_1,,,,,USA.16_1
EVS,1990-1993,840,USA,840007,US: West North Central,United States,USA,US,1,Kansas,USA.17_1,,,,,USA.17_1
EVS,1990-1993,840,USA,840007,US: West North Central,United States,USA,US,1,Minnesota,USA.24_1,,,,,USA.24_1
EVS,1990-1993,840,USA,840007,US: West North Central,United States,USA,US,1,Missouri,USA.26_1,,,,,USA.26_1
EVS,1990-1993,840,USA,840007,US: West North Central,United States,USA,US,1,Nebraska,USA.28_1,,,,,USA.28_1
EVS,1990-1993,840,USA,840007,US: West North Central,United States,USA,US,1,North Dakota,USA.35_1,,,,,USA.35_1
EVS,1990-1993,840,USA,840007,US: West North Central,United States,USA,US,1,South Dakota,USA.42_1,,,,,USA.42_1
EVS,1990-1993,840,USA,840008,US: Rocky Mountain state,United States,USA,US,1,Arizona,USA.3_1,,,,,USA.3_1
EVS,1990-1993,840,USA,840008,US: Rocky Mountain state,United States,USA,US,1,Colorado,USA.6_1,,,,,USA.6_1
EVS,1990-1993,840,USA,840008,US: Rocky Mountain state,United States,USA,US,1,Idaho,USA.13_1,,,,,USA.13_1
EVS,1990-1993,840,USA,840008,US: Rocky Mountain state,United States,USA,US,1,Montana,USA.27_1,,,,,USA.27_1
EVS,1990-1993,840,USA,840008,US: Rocky Mountain state,United States,USA,US,1,Nevada,USA.29_1,,,,,USA.29_1
EVS,1990-1993,840,USA,840008,US: Rocky Mountain state,United States,USA,US,1,New Mexico,USA.32_1,,,,,USA.32_1
