Survey,Wave,Country Numeric,Country ISO3,Region Numeric,Region Name,NUTS1,NUTS2,NUTS3,gid
EVS,2008-2010,250,FRA,-5,Unknown,FR7,FR71,-5,FRA.1.3_1
EVS,2008-2010,250,FRA,-5,Unknown,FR7,FR71,-5,FRA.1.5_1
EVS,2008-2010,250,FRA,-5,Unknown,FR7,FR71,-5,FRA.1.7_1
EVS,2008-2010,250,FRA,-5,Unknown,FR7,FR71,-5,FRA.1.8_1
EVS,2008-2010,250,FRA,-5,Unknown,FR7,FR71,-5,FRA.1.9_1
EVS,2008-2010,250,FRA,-5,Unknown,FR7,FR71,-5,FRA.1.11_1
EVS,2008-2010,250,FRA,-5,Unknown,FR7,FR71,-5,FRA.1.12_1
EVS,2008-2010,250,FRA,-5,Unknown,FR7,FR72,-5,FRA.1.2_1
EVS,2008-2010,250,FRA,-5,Unknown,FR7,FR72,-5,FRA.1.4_1
EVS,2008-2010,250,FRA,-5,Unknown,FR7,FR72,-5,FRA.1.6_1
EVS,2008-2010,250,FRA,-5,Unknown,FR7,FR72,-5,FRA.1.10_1
EVS,2008-2010,250,FRA,-5,Unknown,FR8,FR81,-5,FRA.11.2_1
EVS,2008-2010,250,FRA,-5,Unknown,FR8,FR81,-5,FRA.11.4_1
EVS,2008-2010,250,FRA,-5,Unknown,FR8,FR81,-5,FRA.11.8_1
EVS,2008-2010,250,FRA,-5,Unknown,FR8,FR81,-5,FRA.11.10_1
EVS,2008-2010,250,FRA,-5,Unknown,FR8,FR81,-5,FRA.11.11_1
EVS,2008-2010,250,FRA,-5,Unknown,FR8,FR82,-5,FRA.13.1_1
EVS,2008-2010,250,FRA,-5,Unknown,FR8,FR82,-5,FRA.13.2_1
EVS,2008-2010,250,FRA,-5,Unknown,FR8,FR82,-5,FRA.13.3_1
EVS,2008-2010,250,FRA,-5,Unknown,FR8,FR82,-5,FRA.2.3_1
EVS,2008-2010,250,FRA,-5,Unknown,FR8,FR82,-5,FRA.13.5_1
EVS,2008-2010,250,FRA,-5,Unknown,FR8,FR82,-5,FRA.13.6_1
,,,,,,,,,
EVS,2008-2010,380,ITA,-5,Unknown,ITC,ITC1,-5,ITA.13_1
EVS,2008-2010,380,ITA,-5,Unknown,ITC,ITC2,-5,ITA.19_1
EVS,2008-2010,380,ITA,-5,Unknown,ITC,ITC3,-5,ITA.9_1
EVS,2008-2010,380,ITA,-5,Unknown,ITC,ITC4,-5,ITA.10_1
