Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year
Middle East & North Africa (excluding high income),MNA,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
Middle East & North Africa (IDA & IBRD countries),TMN,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,1.1551036062678701,2017.0
Middle East & North Africa (IDA & IBRD countries),TMN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1151897693239.38,2017.0
Middle East & North Africa (IDA & IBRD countries),TMN,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
Middle income,MIC,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.79516763626435,2017.0
Middle income,MIC,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,23318227764989.7,2017.0
Middle income,MIC,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
North America,NAC,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.02381340223477,2017.0
North America,NAC,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,18092748257284.3,2017.0
North America,NAC,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
Not classified,INX,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,NaN,1960.0
Not classified,INX,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,NaN,1960.0
Not classified,INX,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
OECD members,OED,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,2.64851730771522,2017.0
OECD members,OED,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,41570552067553.3,2017.0
OECD members,OED,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
Other small states,OSS,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,5.755210171942981,2017.0
Other small states,OSS,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,319811798100.655,2017.0
Other small states,OSS,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
Pacific island small states,PSS,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,NaN,1960.0
Pacific island small states,PSS,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,8408023800.77762,2017.0
Pacific island small states,PSS,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
