GEO,UNIT,ISCO08\TIME	2015	2016	2017	2018
HR04,P_HTHAB,OC221	327.15	333.73	347.58	355.18
IT,P_HTHAB,OC221	383.83	395.27	398.95	397.71
ITC1,P_HTHAB,OC221	348.91	359.25	363.05	365.70
ITC2,P_HTHAB,OC221	359.12	373.70	369.84	354.95
ITC3,P_HTHAB,OC221	437.81	450.65	453.00	450.83
ITC4,P_HTHAB,OC221	354.45	366.76	369.54	368.24
ITH1,P_HTHAB,OC221	292.67	309.62	321.48	322.78
ITH2,P_HTHAB,OC221	320.93	332.83	336.76	330.62
ITH3,P_HTHAB,OC221	327.31	338.67	342.85	342.68
ITH4,P_HTHAB,OC221	385.08	395.89	402.97	402.76
ITH5,P_HTHAB,OC221	405.48	419.09	422.31	419.09
ITI1,P_HTHAB,OC221	421.07	432.39	438.51	438.06
ITI2,P_HTHAB,OC221	429.46	442.45	446.68	446.49
ITI3,P_HTHAB,OC221	357.40	366.67	372.92	375.72
ITI4,P_HTHAB,OC221	443.96	458.27	459.22	457.67
ITF1,P_HTHAB,OC221	408.11	422.84	428.22	427.75
ITF2,P_HTHAB,OC221	387.61	393.27	402.62	409.70
ITF3,P_HTHAB,OC221	373.45	381.35	384.90	382.94
ITF4,P_HTHAB,OC221	357.16	367.54	373.10	374.14
ITF5,P_HTHAB,OC221	344.25	350.86	353.06	350.80
ITF6,P_HTHAB,OC221	373.84	384.43	388.19	381.73
ITG1,P_HTHAB,OC221	416.65	427.01	430.38	428.73
ITG2,P_HTHAB,OC221	471.73	483.26	485.26	476.86
CY,P_HTHAB,OC221	359.34	376.84	386.84	407.32
CY00,P_HTHAB,OC221	359.34	376.84	386.84	407.32
LV,P_HTHAB,OC221	319.79	321.25	320.50	330.38
LV00,P_HTHAB,OC221	319.79	321.25	320.50	330.38
LT,P_HTHAB,OC221	433.92	446.69	455.63	459.78
LT01,P_HTHAB,OC221	559.74	575.58	586.39	594.09
LT02,P_HTHAB,OC221	385.57	396.37	403.58	405.35
LT00,P_HTHAB,OC221	433.92	446.69	:	:
LU,P_HTHAB,OC221	290.73	288.45	298.49	:
LU00,P_HTHAB,OC221	290.73	288.45	298.49	:
HU,P_HTHAB,OC221	309.72	321.12	332.48	338.37
HU11,P_HTHAB,OC221	508.95	484.67	541.74	553.11
HU12,P_HTHAB,OC221	236.85	240.14	246.21	254.10
HU10,P_HTHAB,OC221	396.94	383.42	:	:
HU21,P_HTHAB,OC221	219.95	231.86	229.68	239.47
HU22,P_HTHAB,OC221	258.56	277.05	272.97	274.56
HU23,P_HTHAB,OC221	309.50	328.23	336.99	343.97
HU31,P_HTHAB,OC221	211.94	230.67	226.96	230.04
HU32,P_HTHAB,OC221	286.27	308.04	310.43	316.38
HU33,P_HTHAB,OC221	307.90	326.38	338.09	345.51
MT,P_HTHAB,OC221	367.60	382.78	396.37	397.21
