GEO,SEX,AGE,UNIT\TIME	2014	2015	2016	2017	2018
LT,T,Y_LT1,YR	74.7	74.6	74.9	75.8	76.0
LT0,T,Y_LT1,YR	74.7	74.6	74.9	75.8	76.0
LT01,T,Y_LT1,YR	74.8	75.0	75.3	76.3	76.3
LT02,T,Y_LT1,YR	74.7	74.4	74.8	75.6	75.9
LU,T,Y_LT1,YR	82.3	82.4	82.7	82.1	82.3
LU0,T,Y_LT1,YR	82.3	82.4	82.7	82.1	82.3
LU00,T,Y_LT1,YR	82.3	82.4	82.7	82.1	82.3
HU,T,Y_LT1,YR	76.0	75.7	76.2	76.0	76.2
HU1,T,Y_LT1,YR	77.4	77.0	77.6	77.3	77.6
HU11,T,Y_LT1,YR	78.3	77.8	78.3	78.2	78.4
HU12,T,Y_LT1,YR	76.2	75.8	76.5	76.1	76.4
HU2,T,Y_LT1,YR	75.8	75.7	76.2	76.0	76.2
HU21,T,Y_LT1,YR	75.8	75.2	76.0	75.8	75.9
HU22,T,Y_LT1,YR	76.1	76.5	76.6	76.5	76.7
HU23,T,Y_LT1,YR	75.5	75.2	75.9	75.7	75.9
HU3,T,Y_LT1,YR	75.1	75.0	75.4	75.2	75.4
HU31,T,Y_LT1,YR	74.4	74.5	74.6	74.4	74.4
HU32,T,Y_LT1,YR	75.3	75.0	75.6	75.5	75.5
HU33,T,Y_LT1,YR	75.5	75.4	75.9	75.5	76.2
MT,T,Y_LT1,YR	82.1	82.0	82.6	82.4	82.5
MT0,T,Y_LT1,YR	82.1	82.0	82.6	82.4	82.5
MT00,T,Y_LT1,YR	82.1	82.0	82.6	82.4	82.5
NL,T,Y_LT1,YR	81.8	81.6	81.7	81.8	81.9
NL1,T,Y_LT1,YR	81.4	81.2	81.2	81.3	81.4
NL11,T,Y_LT1,YR	80.7	80.7	80.8	80.8	81.0
NL12,T,Y_LT1,YR	81.6	81.5	81.3	81.7	81.7
NL13,T,Y_LT1,YR	81.9	81.3	81.4	81.3	81.6
NL2,T,Y_LT1,YR	81.8	81.7	81.7	81.9	81.8
NL21,T,Y_LT1,YR	81.6	81.5	81.6	81.7	81.7
NL22,T,Y_LT1,YR	81.9	81.7	81.8	81.8	81.8
NL23,T,Y_LT1,YR	82.3	81.9	81.7	82.5	81.9
NL3,T,Y_LT1,YR	82.0	81.8	81.8	82.0	82.0
NL31,T,Y_LT1,YR	82.2	82.1	82.1	82.3	82.4
NL32,T,Y_LT1,YR	81.8	81.6	81.6	82.0	82.1
NL33,T,Y_LT1,YR	82.0	81.8	81.8	82.0	81.9
NL34,T,Y_LT1,YR	82.8	82.3	82.1	82.0	82.1
NL4,T,Y_LT1,YR	81.6	81.4	81.6	81.7	81.8
NL41,T,Y_LT1,YR	81.7	81.5	81.6	81.7	81.9
