GEO,UNIT\TIME	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
DK012,MIO_EUR	30 446.75	32 731.13	33 214.91	34 891.84	36 767.07	37 906.77	41 240.48	41 782.38	43 043.58	44 815.48
DK013,MIO_EUR	15 342.99	15 494.5	15 281.45	15 958.83	16 391.03	16 787.42	17 875.74	18 347.65	18 842.26	19 583.17
DK014,MIO_EUR	1 229.95	1 254.77	1 281.28	1 316.08	1 310.72	1 377.5	1 392.49	1 398.26	1 419.61	1 465.26
DK02,MIO_EUR	23 437.27	24 547.41	24 744.88	25 470.62	25 452.3	25 982.97	27 592.27	27 994.79	28 800.74	29 903.26
DK021,MIO_EUR	7 214.61	7 391.7	7 484.42	7 552.29	7 630.28	7 811.87	8 224.24	8 649.75	8 460.41	8 756.44
DK022,MIO_EUR	16 222.51	17 155.71	17 260.62	17 918.33	17 822.18	18 171.1	19 368.03	19 345.19	20 340.33	21 146.79
DK03,MIO_EUR	45 297.11	47 069.35	48 275.04	49 040.87	50 154.47	51 473.07	52 592.07	54 162.58	55 456.44	57 351.64
DK031,MIO_EUR	16 520.45	16 521.32	16 922.49	17 036.69	17 251.52	17 696.94	18 117.68	18 875.75	19 398.25	20 020.86
DK032,MIO_EUR	28 776.66	30 548.03	31 352.55	32 004.34	32 902.8	33 776.13	34 474.39	35 286.82	36 058.18	37 330.66
DK04,MIO_EUR	48 727.33	49 135.59	51 001.38	51 529.72	52 311.72	53 675.21	54 150.95	58 887.63	60 841.33	62 242.68
DK041,MIO_EUR	17 131.77	17 214.84	18 112.47	18 041.56	18 539.61	19 122.37	18 721.77	20 673.18	20 978.64	21 251.65
DK042,MIO_EUR	31 595.56	31 920.75	32 889.06	33 488.16	33 772.12	34 552.85	35 429.03	38 214.29	39 862.69	40 991.02
DK05,MIO_EUR	21 130.47	21 366.13	21 628.15	22 342.4	22 603.35	22 880.11	23 613.64	24 388.31	25 361.27	26 104.24
DK050,MIO_EUR	21 130.47	21 366.13	21 628.15	22 342.4	22 603.35	22 880.11	23 613.64	24 388.31	25 361.27	26 104.29
DKZ,MIO_EUR	6 696.12	7 646.89	8 941.76	8 937.92	7 555.11	6 291.05	3 946.04	3 469.96	3 386.39	3 495.22
DKZZ,MIO_EUR	6 696.12	7 646.89	8 941.76	8 937.92	7 555.11	6 291.05	3 946.04	3 469.96	3 386.39	3 495.22
DKZZZ,MIO_EUR	6 696.12	7 646.89	8 941.76	8 937.92	7 555.11	6 291.05	3 946.04	3 469.96	3 386.39	3 495.18
DE,MIO_EUR	2 445 730	2 564 400	2 693 560	2 745 310	2 811 350	2 927 430	3 030 070	3 134 100	3 244 990	3 344 370
DE1,MIO_EUR	353 140.96	382 020.12	403 714.44	411 198.94	421 664.47	438 600.16	460 316.41	471 482.54	489 220.68	504 276.1
DE11,MIO_EUR	144 065.77	158 881.1	168 451.08	172 883.52	177 101.33	184 808.88	196 383.38	199 130.31	207 073.24	213 361.65
DE111,MIO_EUR	37 702.49	41 948.89	44 231.4	45 447.76	46 105.82	47 249.46	50 966.71	50 927.49	52 926.29	:
DE112,MIO_EUR	14 599.86	18 187.88	19 560.91	19 323.27	20 390.84	21 715.09	24 468.29	24 978.32	25 487.18	:
DE113,MIO_EUR	15 404.44	16 848.27	17 954.3	18 466.48	18 431.39	19 292.5	20 404.21	20 586.12	21 786.22	:
DE114,MIO_EUR	6 251.81	6 674.99	6 965.88	7 109.23	7 504.76	7 920.65	8 485.53	8 473.65	8 613.07	:
DE115,MIO_EUR	16 712.21	18 055.64	18 894.15	19 745.97	20 466.65	21 811.85	22 772.06	23 689.81	24 613.52	:
DE116,MIO_EUR	10 826.58	11 561.45	12 165.74	12 215.6	12 567.5	13 103.03	13 535.59	13 923.02	14 506.38	:
DE117,MIO_EUR	5 110.17	5 504.95	5 574.17	5 646.06	5 823.96	5 979.05	6 383.04	6 323.31	6 535.23	:
DE118,MIO_EUR	11 275.75	11 918.33	13 116.41	14 196.21	14 854.24	15 359.66	15 908.94	15 828.01	16 670.02	:
DE119,MIO_EUR	3 745.07	3 963.31	4 310.41	4 481.46	4 534.42	4 782.87	4 946.2	5 191.04	5 423.41	:
DE11A,MIO_EUR	5 847.2	6 149.01	6 327.99	6 566.65	6 753.28	7 051.57	7 337.05	7 580.14	7 771.62	:
DE11B,MIO_EUR	3 875.31	4 206.65	4 355.04	4 360.43	4 344.35	4 392.69	4 619.85	4 641.32	4 870.13	:
DE11C,MIO_EUR	4 000.85	3 932.79	4 130.2	4 131.24	3 881.6	3 987.47	4 267.1	4 447.05	4 687.31	:
DE11D,MIO_EUR	8 714.04	9 928.95	10 864.49	11 193.17	11 442.52	12 163	12 288.81	12 541.04	13 182.85	:
DE12,MIO_EUR	92 533.42	97 852.16	102 206.22	103 169.66	105 119.86	108 141.78	112 855.28	115 453.45	119 586.4	123 302.15
DE121,MIO_EUR	2 391.46	2 433.57	2 515.68	2 635.81	2 578.84	2 739.38	2 761.9	2 809.3	2 834.48	:
DE122,MIO_EUR	15 653.24	16 294.31	16 646.17	17 061.34	17 288.91	17 770.61	18 807.27	18 919.22	19 409.77	:
DE123,MIO_EUR	12 566.72	13 176.3	13 811.93	13 894.38	13 848.07	14 110.14	15 227.47	15 563.09	16 312.07	:
DE124,MIO_EUR	6 498.46	7 755.63	8 295.78	8 108.59	8 134.52	8 624.08	9 072.19	9 490.75	9 734.46	:
DE125,MIO_EUR	6 848.06	7 011.2	7 145.73	7 668.67	7 752.82	8 196.34	8 142.4	8 310.3	8 736.05	:
DE126,MIO_EUR	16 025.86	16 245.81	16 909.44	16 973.52	17 703.36	17 880.1	18 776.64	19 156.77	19 876.08	:
DE127,MIO_EUR	3 417.53	3 667.66	3 852.68	3 964.35	4 114.34	4 122.08	4 244.13	4 308.51	4 485.77	:
DE128,MIO_EUR	14 614	15 241.09	16 035.1	15 445.29	15 989.75	16 445.09	17 036.15	17 631.09	18 207.28	:
DE129,MIO_EUR	3 915.84	4 360.22	4 467.31	4 773.93	5 047.27	4 926.83	4 936.25	4 938.11	5 072.18	:
DE12A,MIO_EUR	3 333.25	3 547.4	3 798.38	3 950.67	3 909.96	4 042.86	4 131.93	4 291.11	4 445.49	:
DE12B,MIO_EUR	4 092.36	4 487.76	4 894.71	4 919.12	4 949.81	5 245.02	5 546.6	5 700.43	5 910.59	:
DE12C,MIO_EUR	3 176.62	3 631.19	3 833.31	3 773.99	3 802.22	4 039.25	4 172.34	4 334.77	4 562.19	:
DE13,MIO_EUR	61 466.46	65 450.67	69 384.8	70 437.88	72 728.03	76 523.22	79 038.33	81 267.53	84 232.1	86 859.14
DE131,MIO_EUR	8 755.04	9 111.49	9 497.71	9 658.53	10 042.02	10 523.18	10 800.19	11 134.19	11 555.63	:
DE132,MIO_EUR	5 327.26	5 752.07	6 152.94	6 322.45	6 605.09	6 990.19	7 172.76	7 468.03	7 656.45	:
DE133,MIO_EUR	3 413.21	3 698.84	3 958.95	4 020.89	4 179.47	4 455.77	4 778.8	4 806.56	5 110.07	:
DE134,MIO_EUR	12 970.78	13 598.54	14 559.92	14 153.38	14 530.73	15 151.85	15 655	16 379.77	16 920.44	:
DE135,MIO_EUR	4 104.47	4 537.47	4 773.58	4 924.12	5 037.15	5 341.35	5 636.14	5 708.69	5 973.06	:
DE136,MIO_EUR	5 675.88	6 161.11	6 566.29	6 691.86	6 823.57	7 366.1	7 687.46	7 756.47	8 069.07	:
DE137,MIO_EUR	4 183.38	4 753.51	5 196.72	5 402.8	5 424.91	5 831.41	6 023.24	6 322.37	6 594.45	:
DE138,MIO_EUR	7 422.52	7 614.95	7 890.5	8 168.28	8 691.25	8 884.49	9 018.58	9 406.84	9 678.08	:
DE139,MIO_EUR	5 848.39	6 153.65	6 542.13	6 806.38	6 941.51	7 257.86	7 370.71	7 212.41	7 454.13	:
DE13A,MIO_EUR	3 765.54	4 069.04	4 246.07	4 289.19	4 452.33	4 721.02	4 895.47	5 072.2	5 220.71	:
DE14,MIO_EUR	55 075.3	59 836.19	63 672.33	64 707.87	66 715.24	69 126.27	72 039.41	75 631.26	78 328.95	80 753.16
DE141,MIO_EUR	8 119.89	8 826.97	9 251.09	9 344.1	9 886.9	10 501.59	10 719.28	11 081.35	11 293.56	:
DE142,MIO_EUR	5 308.11	5 637.68	5 953.13	6 200.15	6 449.22	6 675.15	6 931.4	7 390.28	7 697.84	:
DE143,MIO_EUR	4 791.77	5 180.51	5 496.52	5 580.82	5 762.69	5 922.84	6 036.24	6 237.83	6 486.75	:
DE144,MIO_EUR	7 245.91	7 652.79	8 088.37	7 995.76	8 234.09	8 308.73	8 874.36	9 131.39	9 329.1	:
DE145,MIO_EUR	4 389.37	4 808.62	4 940.06	4 872.48	5 148.96	5 356.94	5 418.35	5 689.35	5 839.3	:
DE146,MIO_EUR	6 728.88	7 214.49	7 813.89	8 368.71	8 177.16	8 515.7	9 250.73	9 632.88	10 064.68	:
DE147,MIO_EUR	6 625.82	7 792.61	8 681.62	8 677.28	8 984	9 258.45	9 409.05	10 419.91	10 831.16	:
DE148,MIO_EUR	8 420.85	9 147.9	9 593.78	9 722.33	10 062.36	10 350.55	10 953.31	11 529.04	12 116.88	:
DE149,MIO_EUR	3 444.71	3 574.62	3 853.86	3 946.24	4 009.86	4 236.32	4 446.67	4 519.22	4 669.67	:
DE2,MIO_EUR	424 247.8	447 479.3	478 826.33	491 731.09	506 408.82	528 370.58	550 241.77	573 771	598 941.9	617 146.23
DE21,MIO_EUR	183 832.23	192 501.5	207 089.39	214 130.07	222 309.54	231 278.79	242 949.81	253 269.39	265 347.36	273 695.47
DE211,MIO_EUR	8 292.7	9 938.32	11 849.85	13 578.99	15 939.72	15 958.4	17 178.21	16 901.78	16 787.19	:
DE212,MIO_EUR	79 043.21	81 615.65	87 158.48	91 247.7	95 742.23	100 446.53	104 963.26	109 116.19	114 787.83	:
DE213,MIO_EUR	2 400.07	2 421.67	2 560.12	2 606.71	2 697.73	2 788.53	2 887.99	3 126.15	3 225.85	:
DE214,MIO_EUR	4 200.55	4 890.61	4 973.9	4 755.34	4 559.34	4 808.66	5 060.73	5 107.25	5 337.18	:
