GEO/AGE,TOTAL,Y65-69,Y70-74,Y_GE75
ES23,"313,571.00","16,651.00","15,144.00","34,411.00"
ES24,"1,320,586.00","70,657.00","64,802.00","150,493.00"
ES3,"6,641,649.00","316,618.00","289,848.00","580,055.00"
ES30,"6,641,649.00","316,618.00","289,848.00","580,055.00"
ES4,"5,508,034.00","292,615.00","265,386.00","655,764.00"
ES41,"2,407,733.00","143,444.00","131,083.00","332,917.00"
ES42,"2,034,877.00","94,705.00","84,471.00","207,201.00"
ES43,"1,065,424.00","54,466.00","49,832.00","115,646.00"
ES5,"13,729,620.00","701,458.00","639,792.00","1,263,696.00"
ES51,"7,566,431.00","382,624.00","350,952.00","712,747.00"
ES52,"4,974,969.00","264,182.00","241,013.00","465,399.00"
ES53,"1,188,220.00","54,652.00","47,827.00","85,550.00"
ES6,"10,084,586.00","471,815.00","424,571.00","803,621.00"
ES61,"8,427,405.00","401,379.00","362,618.00","682,025.00"
ES62,"1,487,663.00","64,350.00","57,457.00","112,904.00"
ES63,"84,829.00","3,149.00","2,437.00","4,608.00"
ES64,"84,689.00","2,937.00","2,059.00","4,084.00"
ES7,"2,206,901.00","106,850.00","89,891.00","161,255.00"
ES70,"2,206,901.00","106,850.00","89,891.00","161,255.00"
FR,"67,012,883.00","3,917,445.00","3,266,695.00","6,285,933.00"
FR1,"12,244,807.00","550,960.00","456,624.00","842,758.00"
FR10,"12,244,807.00","550,960.00","456,624.00","842,758.00"
FRB,"2,565,258.00","165,969.00","138,448.00","277,176.00"
FRB0,"2,565,258.00","165,969.00","138,448.00","277,176.00"
FRC,"2,793,333.00","186,400.00","158,320.00","305,668.00"
FRC1,"1,619,728.00","113,963.00","95,912.00","188,526.00"
FRC2,"1,173,605.00","72,437.00","62,408.00","117,142.00"
FRD,"3,313,340.00","212,445.00","173,828.00","333,022.00"
FRD1,"1,464,500.00","100,593.00","83,078.00","166,207.00"
FRD2,"1,848,840.00","111,852.00","90,750.00","166,815.00"
FRE,"5,977,437.00","341,717.00","269,932.00","473,252.00"
FRE1,"4,052,299.00","225,999.00","179,273.00","313,706.00"
FRE2,"1,925,138.00","115,718.00","90,659.00","159,546.00"
FRF,"5,525,291.00","340,066.00","262,198.00","521,647.00"
FRF1,"1,894,144.00","110,440.00","81,585.00","170,558.00"
FRF2,"1,314,964.00","83,517.00","68,565.00","127,639.00"
FRF3,"2,316,183.00","146,109.00","112,048.00","223,450.00"
FRG,"3,787,400.00","230,071.00","188,723.00","371,386.00"
FRG0,"3,787,400.00","230,071.00","188,723.00","371,386.00"
FRH,"3,333,720.00","217,165.00","180,584.00","349,686.00"
FRH0,"3,333,720.00","217,165.00","180,584.00","349,686.00"
FRI,"5,986,318.00","407,762.00","344,090.00","684,978.00"
FRI1,"3,450,045.00","224,802.00","190,491.00","372,372.00"
FRI2,"729,981.00","54,218.00","45,659.00","95,163.00"
FRI3,"1,806,292.00","128,742.00","107,940.00","217,443.00"
FRJ,"5,899,209.00","377,502.00","326,133.00","637,127.00"
FRJ1,"2,838,966.00","190,653.00","167,450.00","311,595.00"
FRJ2,"3,060,243.00","186,849.00","158,683.00","325,532.00"
FRK,"8,005,882.00","454,761.00","392,990.00","757,223.00"
FRK1,"1,362,576.00","94,707.00","80,671.00","158,328.00"
FRK2,"6,643,306.00","360,054.00","312,319.00","598,895.00"
FRL,"5,048,405.00","313,834.00","284,309.00","568,902.00"
FRL0,"5,048,405.00","313,834.00","284,309.00","568,902.00"
FRM,"341,554.00","22,549.00","19,705.00","38,974.00"
FRM0,"341,554.00","22,549.00","19,705.00","38,974.00"
FRY,"2,190,929.00","96,244.00","70,811.00","124,134.00"
FRY1,"416,474.00","25,358.00","20,603.00","36,129.00"
FRY2,"363,484.00","23,339.00","18,739.00","37,135.00"
FRY3,"283,539.00","6,575.00","4,385.00","5,624.00"
FRY4,"857,961.00","37,940.00","25,372.00","42,796.00"
FRY5,"269,471.00","3,032.00","1,712.00","2,450.00"
FRX,0.00,0.00,0.00,0.00
FRXX,0.00,0.00,0.00,0.00
HR,"4,076,246.00","262,779.00","190,347.00","385,473.00"
HR0,"4,076,246.00","262,779.00","190,347.00","385,473.00"
HR03,"1,374,071.00","94,208.00","68,193.00","138,823.00"
HR04,"2,702,175.00","168,571.00","122,154.00","246,650.00"
IT,"60,359,546.00","3,490,973.00","3,233,852.00","7,058,755.00"
ITC,"16,093,286.00","943,137.00","891,234.00","2,022,933.00"
ITC1,"4,356,406.00","270,066.00","254,764.00","587,912.00"
ITC2,"125,666.00","7,694.00","6,828.00","15,442.00"
ITC3,"1,550,640.00","98,148.00","99,151.00","244,463.00"
ITC4,"10,060,574.00","567,229.00","530,491.00","1,175,116.00"
ITH,"11,652,827.00","668,208.00","632,365.00","1,430,678.00"
ITH1,"531,178.00","25,468.00","23,726.00","54,843.00"
ITH2,"541,098.00","31,012.00","27,523.00","60,846.00"
ITH3,"4,905,854.00","282,674.00","262,685.00","576,646.00"
ITH4,"1,215,220.00","75,948.00","74,884.00","167,024.00"
ITH5,"4,459,477.00","253,106.00","243,547.00","571,319.00"
ITI,"12,016,009.00","693,095.00","656,820.00","1,477,054.00"
ITI1,"3,729,641.00","222,345.00","222,933.00","501,810.00"
ITI2,"882,015.00","53,821.00","50,570.00","121,239.00"
ITI3,"1,525,271.00","91,552.00","82,966.00","203,803.00"
ITI4,"5,879,082.00","325,377.00","300,351.00","650,202.00"
ITF,"13,957,942.00","794,884.00","703,827.00","1,419,746.00"
ITF1,"1,311,580.00","80,221.00","70,823.00","161,420.00"
ITF2,"305,617.00","19,445.00","16,527.00","39,315.00"
ITF3,"5,801,692.00","309,742.00","272,599.00","508,765.00"
ITF4,"4,029,053.00","236,553.00","218,107.00","435,132.00"
ITF5,"562,869.00","34,256.00","28,317.00","66,822.00"
ITF6,"1,947,131.00","114,667.00","97,454.00","208,292.00"
ITG,"6,639,482.00","391,649.00","349,606.00","708,344.00"
ITG1,"4,999,891.00","285,692.00","257,054.00","517,239.00"
ITG2,"1,639,591.00","105,957.00","92,552.00","191,105.00"
CY,"875,899.00","45,193.00","36,574.00","59,345.00"
CY0,"875,899.00","45,193.00","36,574.00","59,345.00"
CY00,"875,899.00","45,193.00","36,574.00","59,345.00"
LV,"1,919,968.00","110,469.00","86,232.00","192,278.00"
LV0,"1,919,968.00","110,469.00","86,232.00","192,278.00"
LV00,"1,919,968.00","110,469.00","86,232.00","192,278.00"
LT,"2,794,184.00","155,351.00","119,763.00","277,259.00"
LT0,"2,794,184.00","155,351.00","119,763.00","277,259.00"
LT01,"810,538.00","40,551.00","30,554.00","66,185.00"
LT02,"1,983,646.00","114,800.00","89,209.00","211,074.00"
LU,"613,894.00","26,712.00","21,074.00","40,542.00"
LU0,"613,894.00","26,712.00","21,074.00","40,542.00"
LU00,"613,894.00","26,712.00","21,074.00","40,542.00"
HU,"9,772,756.00","617,337.00","475,183.00","797,439.00"
HU1,"3,031,160.00","182,181.00","150,259.00","245,612.00"
HU11,"1,752,286.00","107,675.00","92,648.00","158,532.00"
HU12,"1,278,874.00","74,506.00","57,611.00","87,080.00"
HU2,"2,927,175.00","192,683.00","143,537.00","240,407.00"
HU21,"1,058,236.00","67,628.00","50,163.00","84,738.00"
HU22,"989,343.00","64,391.00","48,453.00","78,831.00"
HU23,"879,596.00","60,664.00","44,921.00","76,838.00"
HU3,"3,814,421.00","242,473.00","181,387.00","311,420.00"
HU31,"1,126,360.00","72,308.00","53,485.00","93,872.00"
HU32,"1,450,960.00","88,386.00","63,404.00","107,814.00"
HU33,"1,237,101.00","81,779.00","64,498.00","109,734.00"
HUX,0.00,,,
HUXX,0.00,,,
MT,"493,559.00","28,649.00","28,144.00","35,387.00"
MT0,"493,559.00","28,649.00","28,144.00","35,387.00"
MT00,"493,559.00","28,649.00","28,144.00","35,387.00"
NL,"17,282,163.00","993,074.00","913,384.00","1,407,546.00"
NL1,"1,723,829.00","107,904.00","101,675.00","154,734.00"
NL11,"583,990.00","34,499.00","32,191.00","47,588.00"
NL12,"647,672.00","40,436.00","38,441.00","58,720.00"
NL13,"492,167.00","32,969.00","31,043.00","48,426.00"
NL2,"3,644,949.00","211,235.00","191,559.00","291,880.00"
NL21,"1,156,431.00","65,656.00","60,313.00","95,971.00"
NL22,"2,071,972.00","125,147.00","114,803.00","175,548.00"
NL23,"416,546.00","20,432.00","16,443.00","20,361.00"
NL3,"8,252,442.00","442,767.00","411,953.00","630,557.00"
NL31,"1,306,912.00","66,261.00","60,282.00","92,337.00"
NL32,"2,853,359.00","152,703.00","142,499.00","213,513.00"
NL33,"3,709,139.00","198,480.00","184,263.00","285,342.00"
NL34,"383,032.00","25,323.00","24,909.00","39,365.00"
NL4,"3,660,943.00","231,168.00","208,197.00","330,375.00"
NL41,"2,544,806.00","152,600.00","139,128.00","216,833.00"
NL42,"1,116,137.00","78,568.00","69,069.00","113,542.00"
AT,"8,858,775.00","446,045.00","387,425.00","835,089.00"
AT1,"3,868,466.00","188,780.00","169,378.00","355,770.00"
AT11,"293,433.00","18,699.00","13,920.00","31,586.00"
AT12,"1,677,542.00","88,566.00","76,937.00","171,775.00"
AT13,"1,897,491.00","81,515.00","78,521.00","152,409.00"
AT2,"1,803,991.00","98,960.00","84,088.00","190,582.00"
AT21,"560,939.00","32,829.00","27,723.00","61,239.00"
AT22,"1,243,052.00","66,131.00","56,365.00","129,343.00"
AT3,"3,186,318.00","158,305.00","133,959.00","288,737.00"
AT31,"1,482,095.00","74,883.00","60,818.00","137,496.00"
AT32,"555,221.00","28,378.00","24,982.00","50,509.00"
AT33,"754,705.00","36,211.00","32,165.00","67,295.00"
AT34,"394,297.00","18,833.00","15,994.00","33,437.00"
PL,"37,972,812.00","2,400,297.00","1,590,647.00","2,715,100.00"
PL2,"7,849,543.00","485,699.00","326,939.00","587,656.00"
PL21,"3,360,545.00","188,030.00","133,261.00","240,519.00"
PL22,"4,488,998.00","297,669.00","193,678.00","347,137.00"
PL4,"6,151,984.00","396,823.00","259,055.00","382,980.00"
PL41,"3,473,172.00","210,998.00","146,200.00","210,504.00"
PL42,"1,675,502.00","118,442.00","71,462.00","110,241.00"
PL43,"1,003,310.00","67,383.00","41,393.00","62,235.00"
PL5,"3,811,110.00","265,457.00","162,676.00","279,424.00"
PL51,"2,865,072.00","203,804.00","123,838.00","203,557.00"
PL52,"946,038.00","61,653.00","38,838.00","75,867.00"
PL6,"5,764,951.00","360,187.00","226,741.00","375,001.00"
PL61,"2,055,433.00","131,167.00","85,934.00","137,563.00"
PL62,"1,404,441.00","86,741.00","51,299.00","88,531.00"
PL63,"2,305,077.00","142,279.00","89,508.00","148,907.00"
PL7,"3,679,410.00","251,141.00","176,851.00","288,116.00"
PL71,"2,453,167.00","169,107.00","120,767.00","190,718.00"
PL72,"1,226,243.00","82,034.00","56,084.00","97,398.00"
PL8,"5,335,503.00","313,161.00","215,111.00","401,123.00"
PL81,"2,097,294.00","130,035.00","90,150.00","160,216.00"
PL82,"2,086,135.00","118,382.00","80,618.00","147,581.00"
PL84,"1,152,074.00","64,744.00","44,343.00","93,326.00"
PL9,"5,380,311.00","327,829.00","223,274.00","400,800.00"
PL91,"3,053,104.00","188,762.00","131,354.00","239,610.00"
PL92,"2,327,207.00","139,067.00","91,920.00","161,190.00"
PT,"10,276,617.00","618,173.00","538,440.00","1,087,612.00"
PT1,"9,779,826.00","593,823.00","519,461.00","1,053,266.00"
PT11,"3,572,583.00","214,215.00","176,405.00","340,569.00"
PT15,"438,864.00","25,377.00","22,291.00","47,285.00"
PT16,"2,216,569.00","138,542.00","122,076.00","278,355.00"
PT17,"2,846,332.00","171,789.00","159,177.00","290,801.00"
PT18,"705,478.00","43,900.00","39,512.00","96,256.00"
PT2,"242,846.00","11,338.00","8,704.00","15,335.00"
PT20,"242,846.00","11,338.00","8,704.00","15,335.00"
PT3,"253,945.00","13,012.00","10,275.00","19,011.00"
PT30,"253,945.00","13,012.00","10,275.00","19,011.00"
RO,"19,414,458.00","1,206,962.00","829,726.00","1,559,669.00"
RO1,"4,870,384.00","292,688.00","208,296.00","361,562.00"
RO11,"2,552,112.00","148,328.00","110,256.00","184,102.00"
RO12,"2,318,272.00","144,360.00","98,040.00","177,460.00"
RO2,"5,594,735.00","352,452.00","224,941.00","466,881.00"
RO21,"3,198,564.00","189,212.00","123,361.00","263,406.00"
RO22,"2,396,171.00","163,240.00","101,580.00","203,475.00"
RO3,"5,245,005.00","328,866.00","220,648.00","425,073.00"
RO31,"2,929,832.00","193,106.00","138,170.00","269,295.00"
RO32,"2,315,173.00","135,760.00","82,478.00","155,778.00"
RO4,"3,704,334.00","232,956.00","175,841.00","306,153.00"
RO41,"1,926,860.00","122,538.00","96,060.00","175,790.00"
RO42,"1,777,474.00","110,418.00","79,781.00","130,363.00"
SI,"2,080,908.00","131,040.00","90,902.00","191,112.00"
SI0,"2,080,908.00","131,040.00","90,902.00","191,112.00"
SI03,"1,094,435.00","70,846.00","49,158.00","100,446.00"
SI04,"986,473.00","60,194.00","41,744.00","90,666.00"
SK,"5,450,421.00","319,800.00","220,261.00","334,258.00"
SK0,"5,450,421.00","319,800.00","220,261.00","334,258.00"
SK01,"659,598.00","40,754.00","28,299.00","41,501.00"
SK02,"1,826,145.00","115,091.00","79,854.00","120,967.00"
SK03,"1,339,242.00","78,601.00","53,735.00","82,339.00"
SK04,"1,625,436.00","85,354.00","58,373.00","89,451.00"
FI,"5,517,919.00","362,208.00","330,660.00","511,969.00"
FI1,"5,488,130.00","360,248.00","328,805.00","509,164.00"
FI19,"1,379,749.00","93,481.00","86,118.00","139,073.00"
FI1B,"1,671,024.00","88,451.00","84,602.00","117,093.00"
FI1C,"1,152,719.00","84,043.00","78,948.00","122,834.00"
FI1D,"1,284,638.00","94,273.00","79,137.00","130,164.00"
FI2,"29,789.00","1,960.00","1,855.00","2,805.00"
FI20,"29,789.00","1,960.00","1,855.00","2,805.00"
SE,"10,230,185.00","549,311.00","563,648.00","922,752.00"
SE1,"4,052,937.00","197,629.00","205,173.00","323,234.00"
SE11,"2,344,124.00","102,749.00","105,590.00","163,915.00"
