GEO,UNIT\TIME	2014	2015	2016	2017	2018
DE40C,NR	2 177	2 260	2 261	2 390	2 455
DE40D,NR	1 317	1 326	1 304	1 341	1 377
DE40E,NR	2 186	2 208	2 411	2 383	2 397
DE40F,NR	1 122	1 210	1 180	1 179	1 213
DE40G,NR	1 553	1 687	1 618	1 764	1 700
DE40H,NR	1 757	2 025	1 919	2 019	2 131
DE40I,NR	1 565	1 697	1 670	1 769	1 889
DE5,NR	7 437	7 811	7 732	7 905	8 068
DE50,NR	7 437	7 811	7 732	7 905	8 068
DE501,NR	5 975	6 316	6 198	6 375	6 578
DE502,NR	1 462	1 495	1 534	1 530	1 490
DE6,NR	16 780	17 565	17 267	17 640	18 168
DE60,NR	16 780	17 565	17 267	17 640	18 168
DE600,NR	16 780	17 565	17 267	17 640	18 168
DE7,NR	61 183	66 534	64 081	66 337	67 167
DE71,NR	36 360	39 631	37 996	39 364	39 794
DE711,NR	1 362	1 542	1 378	1 414	1 444
DE712,NR	5 503	6 171	5 612	5 988	6 031
DE713,NR	1 068	1 133	1 145	1 109	1 163
DE714,NR	2 600	2 893	2 776	2 873	2 845
DE715,NR	2 867	3 090	2 980	3 133	3 109
DE716,NR	2 624	2 947	2 887	3 111	3 124
DE717,NR	2 461	2 604	2 554	2 519	2 578
DE718,NR	2 378	2 444	2 351	2 449	2 458
DE719,NR	4 209	4 443	4 364	4 365	4 522
DE71A,NR	2 124	2 333	2 164	2 222	2 357
DE71B,NR	1 045	1 191	1 164	1 258	1 233
DE71C,NR	3 085	3 556	3 317	3 568	3 438
DE71D,NR	1 975	1 976	1 967	1 954	2 050
DE71E,NR	3 059	3 308	3 337	3 401	3 442
DE72,NR	10 900	11 859	11 393	12 049	11 927
DE721,NR	2 396	2 780	2 572	2 738	2 719
DE722,NR	2 764	3 081	3 043	3 126	3 103
DE723,NR	1 945	2 007	1 902	2 054	2 095
DE724,NR	2 423	2 563	2 571	2 694	2 613
DE725,NR	1 372	1 428	1 305	1 437	1 397
DE73,NR	13 923	15 044	14 692	14 924	15 446
DE731,NR	2 080	2 178	2 165	2 130	2 198
DE732,NR	2 188	2 394	2 320	2 318	2 383
DE733,NR	1 469	1 640	1 529	1 551	1 617
DE734,NR	2 867	2 922	2 905	3 070	3 097
DE735,NR	2 171	2 322	2 240	2 320	2 441
DE736,NR	1 824	2 087	2 044	2 060	2 174
DE737,NR	1 324	1 501	1 489	1 475	1 536
DE8,NR	18 918	20 315	20 445	20 736	21 948
DE80,NR	18 918	20 315	20 445	20 736	21 948
DE803,NR	2 138	2 310	2 338	2 366	2 568
DE804,NR	1 132	1 201	1 271	1 236	1 329
DE80J,NR	3 358	3 498	3 435	3 624	3 662
DE80K,NR	2 379	2 642	2 610	2 696	2 678
DE80L,NR	2 841	2 918	3 067	3 076	3 302
DE80M,NR	1 791	1 819	1 869	1 866	2 103
DE80N,NR	2 824	3 225	3 228	3 328	3 581
DE80O,NR	2 455	2 702	2 627	2 544	2 725
DE9,NR	87 571	92 460	92 368	93 713	96 165
DE91,NR	18 918	20 050	20 410	20 148	20 531
DE911,NR	2 809	2 838	2 865	2 876	3 008
DE912,NR	1 337	1 390	1 304	1 448	1 394
DE913,NR	1 314	1 480	1 500	1 492	1 497
DE914,NR	1 680	1 954	1 811	1 875	1 787
DE916,NR	2 040	2 070	2 083	2 123	2 201
DE917,NR	1 271	1 347	1 811	1 333	1 357
DE918,NR	1 839	1 869	1 904	1 922	1 928
DE91A,NR	1 479	1 593	1 620	1 614	1 724
DE91B,NR	1 441	1 492	1 494	1 498	1 550
DE91C,NR	:	:	:	3 967	4 085
DE92,NR	24 464	25 950	24 820	25 891	26 350
DE922,NR	2 330	2 528	2 439	2 473	2 533
DE923,NR	2 042	2 148	2 048	2 050	2 247
DE925,NR	3 438	3 608	3 070	3 768	3 659
DE926,NR	1 033	1 021	1 052	1 056	1 079
DE927,NR	1 502	1 583	1 540	1 591	1 622
DE928,NR	2 098	2 281	2 195	2 277	2 241
DE929,NR	12 021	12 781	12 476	12 676	12 969
DE93,NR	18 779	19 406	19 742	20 216	20 766
DE931,NR	2 047	1 942	2 164	2 153	2 365
DE932,NR	2 558	2 619	2 574	2 730	2 837
DE933,NR	2 485	2 579	2 482	2 591	2 752
DE934,NR	701	724	773	740	747
DE935,NR	1 827	1 890	1 845	1 907	1 952
DE936,NR	1 228	1 259	1 283	1 319	1 361
DE937,NR	1 729	1 783	1 879	1 946	1 927
DE938,NR	1 612	1 656	1 682	1 713	1 680
DE939,NR	1 990	2 107	2 139	2 168	2 259
DE93A,NR	1 252	1 375	1 409	1 333	1 314
DE93B,NR	1 350	1 472	1 512	1 616	1 572
DE94,NR	25 410	27 054	27 396	27 458	28 518
DE941,NR	781	847	870	871	934
DE942,NR	587	633	634	630	644
DE943,NR	1 511	1 661	1 599	1 723	1 703
DE944,NR	1 636	1 616	1 666	1 597	1 652
DE945,NR	991	1 105	1 093	1 186	1 152
DE946,NR	1 184	1 329	1 398	1 304	1 324
DE947,NR	2 160	2 397	2 425	2 442	2 542
DE948,NR	1 443	1 505	1 585	1 608	1 596
