GEO,UNIT,FACILITY\TIME	2015	2016	2017	2018
ITF1,P_HTHAB,HBEDT	307.51	312.60	303.63	304.10
ITF2,P_HTHAB,HBEDT	361.38	354.07	332.50	292.46
ITF3,P_HTHAB,HBEDT	262.06	258.39	257.30	256.47
ITF4,P_HTHAB,HBEDT	284.55	282.37	283.23	280.71
ITF5,P_HTHAB,HBEDT	299.05	299.63	295.56	281.60
ITF6,P_HTHAB,HBEDT	210.28	222.68	249.94	245.81
ITG1,P_HTHAB,HBEDT	271.88	268.94	271.97	274.42
ITG2,P_HTHAB,HBEDT	314.02	311.72	301.21	309.21
CY,P_HTHAB,HBEDT	341.53	342.67	339.96	330.09
CY00,P_HTHAB,HBEDT	341.53	342.67	339.96	330.09
LV,P_HTHAB,HBEDT	569.45	571.97	556.67	549.35
LV00,P_HTHAB,HBEDT	569.45	571.97	556.67	549.35
LT,P_HTHAB,HBEDT	696.61	669.16	655.78	643.40
LT01,P_HTHAB,HBEDT	766.44	733.16	718.77	703.88
LT02,P_HTHAB,HBEDT	669.78	644.17	630.71	618.88
LT00,P_HTHAB,HBEDT	696.61	669.16	:	:
LU,P_HTHAB,HBEDT	493.33	480.58	466.18	450.70
LU00,P_HTHAB,HBEDT	493.33	480.58	466.18	450.70
HU,P_HTHAB,HBEDT	699.41	700.15	701.90	701.29
HU11,P_HTHAB,HBEDT	1 039.57	1 036.02	1 032.77	1 025.58
HU12,P_HTHAB,HBEDT	299.92	297.35	294.51	291.65
HU10,P_HTHAB,HBEDT	735.10	730.16	:	:
HU21,P_HTHAB,HBEDT	667.57	675.74	685.15	683.13
HU22,P_HTHAB,HBEDT	724.54	720.12	719.25	714.40
HU23,P_HTHAB,HBEDT	742.54	719.18	723.16	721.91
HU31,P_HTHAB,HBEDT	717.52	729.28	733.00	740.63
HU32,P_HTHAB,HBEDT	629.81	642.45	649.41	652.89
HU33,P_HTHAB,HBEDT	656.12	660.87	665.68	674.33
MT,P_HTHAB,HBEDT	458.60	467.11	448.51	430.84
MT00,P_HTHAB,HBEDT	458.60	467.11	448.51	430.84
NL,P_HTHAB,HBEDT	348.98	341.10	327.68	316.55
AT,P_HTHAB,HBEDT	753.68	742.14	736.62	727.16
AT11,P_HTHAB,HBEDT	593.41	602.79	620.24	604.67
AT12,P_HTHAB,HBEDT	701.18	688.49	672.58	673.91
AT13,P_HTHAB,HBEDT	815.66	795.94	783.58	756.47
