GEO,UNIT,FACILITY\TIME	2015	2016	2017	2018	2019
FI19,NR,NRCBED	17 669.00	:	:	:	:
FI1B,NR,NRCBED	14 496.00	:	:	:	:
FI1C,NR,NRCBED	14 889.00	:	:	:	:
FI1D,NR,NRCBED	17 213.00	:	:	:	:
FI20,NR,NRCBED	437.00	:	:	:	:
SE,NR,NRCBED	125 386.00	126 637.00	139 601.00	140 979.00	:
SE11,NR,NRCBED	22 229.00	:	:	:	:
SE12,NR,NRCBED	22 500.00	:	:	:	:
SE21,NR,NRCBED	11 620.00	:	:	:	:
SE22,NR,NRCBED	16 437.00	:	:	:	:
SE23,NR,NRCBED	25 476.00	:	:	:	:
SE31,NR,NRCBED	12 269.00	:	:	:	:
SE32,NR,NRCBED	6 130.00	:	:	:	:
SE33,NR,NRCBED	8 725.00	:	:	:	:
UK,NR,NRCBED	548 397.00	545 010.00	542 627.00	529 467.00	525 704.42
IS,NR,NRCBED	2 596.50	2 628.50	2 634.00	2 648.00	2 693.00
IS00,NR,NRCBED	2 596.00	2 628.00	:	:	:
LI,NR,NRCBED	281.00	281.00	281.00	297.00	295.00
LI00,NR,NRCBED	281.00	281.00	:	:	:
NO,NR,NRCBED	40 708.00	40 494.00	40 401.00	40 126.00	:
NO01,NR,NRCBED	8 454.00	:	:	:	:
NO02,NR,NRCBED	3 778.00	:	:	:	:
NO03,NR,NRCBED	7 139.00	:	:	:	:
NO04,NR,NRCBED	5 254.00	:	:	:	:
NO05,NR,NRCBED	7 914.00	:	:	:	:
NO06,NR,NRCBED	3 632.00	:	:	:	:
NO07,NR,NRCBED	4 537.00	:	:	:	:
CH,NR,NRCBED	96 563.00	97 127.00	99 242.00	99 622.00	:
CH01,NR,NRCBED	13 641.00	:	:	:	:
CH02,NR,NRCBED	23 305.00	:	:	:	:
CH03,NR,NRCBED	12 383.00	:	:	:	:
CH04,NR,NRCBED	18 057.00	:	:	:	:
CH05,NR,NRCBED	15 415.00	:	:	:	:
CH06,NR,NRCBED	9 573.00	:	:	:	:
CH07,NR,NRCBED	4 189.00	:	:	:	:
MK,NR,NRCBED	915.00	983.00	983.00	:	:
MK00,NR,NRCBED	915.00	:	:	:	:
RS,NR,NRCBED	19 795.00	19 932.00	20 464.00	20 314.00	:
TR,NR,NRCBED	49 588.00	52 452.00	57 549.00	62 215.00	68 121.00
TR10,NR,NRCBED	10 234.00	10 381.00	:	:	:
TR21,NR,NRCBED	775.00	807.00	:	:	:
TR22,NR,NRCBED	806.00	976.00	:	:	:
TR31,NR,NRCBED	4 619.00	4 851.00	:	:	:
TR32,NR,NRCBED	2 362.00	2 533.00	:	:	:
TR33,NR,NRCBED	2 041.00	2 069.00	:	:	:
TR41,NR,NRCBED	2 202.00	2 333.00	:	:	:
TR42,NR,NRCBED	1 704.00	1 832.00	:	:	:
TR51,NR,NRCBED	4 733.00	5 338.00	:	:	:
TR52,NR,NRCBED	1 865.00	1 871.00	:	:	:
TR61,NR,NRCBED	1 873.00	1 872.00	:	:	:
TR62,NR,NRCBED	1 856.00	1 809.00	:	:	:
TR63,NR,NRCBED	1 268.00	1 268.00	:	:	:
TR71,NR,NRCBED	1 485.00	1 605.00	:	:	:
TR72,NR,NRCBED	2 095.00	2 095.00	:	:	:
TR81,NR,NRCBED	547.00	595.00	:	:	:
TR82,NR,NRCBED	836.00	917.00	:	:	:
TR83,NR,NRCBED	2 125.00	2 514.00	:	:	:
TR90,NR,NRCBED	1 707.00	1 835.00	:	:	:
TRA1,NR,NRCBED	735.00	791.00	:	:	:
TRA2,NR,NRCBED	592.00	607.00	:	:	:
TRB1,NR,NRCBED	1 052.00	1 052.00	:	:	:
TRB2,NR,NRCBED	374.00	452.00	:	:	:
TRC1,NR,NRCBED	790.00	802.00	:	:	:
TRC2,NR,NRCBED	562.00	682.00	:	:	:
TRC3,NR,NRCBED	350.00	410.00	:	:	:
