A,PAS_CRD,THS_PAS,PT30	3344 
A,PAS_CRD,THS_PAS,RO	21536 
A,PAS_CRD,THS_PAS,RO1	3847 
A,PAS_CRD,THS_PAS,RO11	2994 
A,PAS_CRD,THS_PAS,RO12	853 
A,PAS_CRD,THS_PAS,RO2	2122 
A,PAS_CRD,THS_PAS,RO21	2099 
A,PAS_CRD,THS_PAS,RO22	23 
A,PAS_CRD,THS_PAS,RO3	14694 
A,PAS_CRD,THS_PAS,RO32	14694 
A,PAS_CRD,THS_PAS,RO4	2109 
A,PAS_CRD,THS_PAS,RO41	514 
A,PAS_CRD,THS_PAS,RO42	1595 
A,PAS_CRD,THS_PAS,SE	37615 
A,PAS_CRD,THS_PAS,SE1	30512 
A,PAS_CRD,THS_PAS,SE11	27993 
A,PAS_CRD,THS_PAS,SE12	2518 
A,PAS_CRD,THS_PAS,SE2	10211 
A,PAS_CRD,THS_PAS,SE21	1024 
A,PAS_CRD,THS_PAS,SE22	2568 
A,PAS_CRD,THS_PAS,SE23	6671 
A,PAS_CRD,THS_PAS,SE3	3376 
A,PAS_CRD,THS_PAS,SE32	706 
A,PAS_CRD,THS_PAS,SE33	2675 
A,PAS_CRD,THS_PAS,SI	1719 
A,PAS_CRD,THS_PAS,SI0	1719 
A,PAS_CRD,THS_PAS,SI04	1719 
A,PAS_CRD,THS_PAS,SK	2840 
A,PAS_CRD,THS_PAS,SK0	2840 
A,PAS_CRD,THS_PAS,SK01	2285 
A,PAS_CRD,THS_PAS,SK04	556 
A,PAS_CRD,THS_PAS,UK	277431 
A,PAS_CRD,THS_PAS,UKC	5342 
A,PAS_CRD,THS_PAS,UKC1	148 
A,PAS_CRD,THS_PAS,UKC2	5194 
A,PAS_CRD,THS_PAS,UKD	34350 
A,PAS_CRD,THS_PAS,UKD3	29321 
A,PAS_CRD,THS_PAS,UKD4	15 
A,PAS_CRD,THS_PAS,UKD7	5014 
A,PAS_CRD,THS_PAS,UKE	5602 
A,PAS_CRD,THS_PAS,UKE1	202 
A,PAS_CRD,THS_PAS,UKE3	1408 
A,PAS_CRD,THS_PAS,UKE4	3992 
A,PAS_CRD,THS_PAS,UKF	4668 
A,PAS_CRD,THS_PAS,UKF2	4668 
A,PAS_CRD,THS_PAS,UKG	12646 
A,PAS_CRD,THS_PAS,UKG3	12646 
A,PAS_CRD,THS_PAS,UKH	48898 
A,PAS_CRD,THS_PAS,UKH1	530 
A,PAS_CRD,THS_PAS,UKH2	18214 
A,PAS_CRD,THS_PAS,UKH3	30154 
A,PAS_CRD,THS_PAS,UKI	86011 
A,PAS_CRD,THS_PAS,UKI4	5122 
A,PAS_CRD,THS_PAS,UKI6	2 
A,PAS_CRD,THS_PAS,UKI7	80887 
A,PAS_CRD,THS_PAS,UKJ	48342 
A,PAS_CRD,THS_PAS,UKJ2	46561 
A,PAS_CRD,THS_PAS,UKJ3	1781 
A,PAS_CRD,THS_PAS,UKK	10779 
A,PAS_CRD,THS_PAS,UKK1	8954 
A,PAS_CRD,THS_PAS,UKK2	803 
A,PAS_CRD,THS_PAS,UKK4	1022 
A,PAS_CRD,THS_PAS,UKL	1651 
A,PAS_CRD,THS_PAS,UKL2	1651 
A,PAS_CRD,THS_PAS,UKM	28237 
A,PAS_CRD,THS_PAS,UKM5	2913 
A,PAS_CRD,THS_PAS,UKM6	1658 
A,PAS_CRD,THS_PAS,UKM7	14755 
A,PAS_CRD,THS_PAS,UKM8	8834 
A,PAS_CRD,THS_PAS,UKM9	639 
A,PAS_CRD,THS_PAS,UKN	8935 
A,PAS_CRD,THS_PAS,UKN0	8935 
A,PAS_CRD,THS_PAS,UKZ	461 
A,PAS_CRD,THS_PAS,UKZZ	461 
