"countrycode","country","SH.MED.BEDS.ZS","SH.MED.PHYS.ZS","SH.MED.NUMW.P3","SH.UHC.SRVS.CV.XD","SH.XPD.CHEX.GD.ZS","SH.XPD.CHEX.PC.CD","SH.XPD.CHEX.PP.CD","SH.XPD.OOPC.CH.ZS","SH.XPD.OOPC.PC.CD","SH.XPD.OOPC.PP.CD","SH.STA.DIAB.ZS","SP.DYN.LE00.FE.IN","SP.DYN.LE00.IN","SP.DYN.LE00.MA.IN","SP.DYN.AMRT.FE","SP.DYN.AMRT.MA","SH.DYN.NCOM.ZS","SH.DYN.NCOM.FE.ZS","SH.DYN.NCOM.MA.ZS","SH.DTH.COMM.ZS","SH.DTH.INJR.ZS","SH.DTH.NCOM.ZS","SH.H2O.BASW.ZS","SH.H2O.BASW.UR.ZS","SH.H2O.BASW.RU.ZS","SH.STA.BASS.ZS","SH.STA.BASS.UR.ZS","SH.STA.BASS.RU.ZS","SP.POP.80UP.FE.5Y","SP.POP.80UP.MA.5Y","SP.POP.65UP.FE.ZS","SP.POP.65UP.MA.ZS","SP.POP.65UP.TO.ZS","SP.POP.0014.FE.ZS","SP.POP.0014.MA.ZS","SP.POP.0014.TO.ZS","SP.POP.1564.FE.ZS","SP.POP.1564.MA.ZS","SP.POP.1564.TO.ZS","EN.POP.DNST","SP.RUR.TOTL.ZS","SP.URB.TOTL.IN.ZS","NY.GDP.FCST.CD","NY.GDP.PCAP.CD","covid19_deaths_per_100k","in_high","in_medium","in_low"
"KEN","Kenya",1.4,0.1565,1.1656,55,4.80254329741001,76.6103210449219,158.155654907227,24.0433126688004,18.4196605682373,38.0258560180664,3.1,68.684,66.342,63.965,194.507,264.72,13.4,13,13.9,63.3,9.6,27.1,58.9163333889547,84.6449849397351,49.6104642414712,29.0511150631439,34.6812150016853,27.0147482052884,0.350591467392219,0.192608775110937,2.79427489883876,2.04869142484786,2.42382670984367,38.6263129411716,39.7676023572429,39.1933742576388,58.5794121599897,58.1837062179092,58.3827990325175,90.2994166637383,72.493,27.507,87375747622.3159,1816.5469164389,1.09750122936305,FALSE,FALSE,TRUE
"KGZ","Kyrgyzstan",4.5,2.213,5.9445,70,6.1858631670475,78.8228378295898,241.248641967773,56.3766300678253,44.4376602172852,136.007858276367,6.1,75.6,71.4,67.4,94.014,210.663,24.9,17.3,33.4,9.6,7.7,82.7,87.4559028992415,97.1350637848055,81.9794060120075,96.5070669553914,91.7941363614567,99.1736565526288,1.27944640708413,0.536878580372047,5.66248883002169,3.51523140916134,4.60029458294692,31.3973477065802,33.6298033146581,32.5016950209247,62.9401634633981,62.8549652761806,62.8980103961283,32.9655891553702,63.409,36.591,7322349412.9004,1309.39299165512,16.4010593318775,FALSE,TRUE,FALSE
"KHM","Cambodia",0.8,0.1927,0.6855,60,5.91884180903435,82.0758666992188,238.182662963867,60.4358732700348,49.603271484375,143.947784423828,6.4,71.629,69.57,67.312,132.376,199.971,21.1,19.1,23.9,25.6,10,64.4,78.5106569314218,97.326655863793,72.8966363008042,59.2269659797755,95.8349260458547,48.304464650274,0.702023348719508,0.445176830574583,5.56869401261592,3.8254017091808,4.7177691962329,29.7536205540397,32.5103226348404,31.0991959381173,64.6776854333444,63.6642756559788,64.1830348656498,92.0564128710628,76.195,23.805,25063606382.4235,1643.12138876475,0,FALSE,TRUE,FALSE
"LAO","Laos",1.5,0.3726,0.9522,51,2.52808686345816,62.1246337890625,177.933731079102,46.1833655834198,28.6912479400635,82.1757888793945,6.4,69.417,67.61,65.838,156.747,205.59,27,24.9,29.3,31.4,8.9,59.6,82.0618968646825,94.4358400784517,75.5823228353015,74.4594104323402,95.3657061427754,63.5118950384441,0.679414344722818,0.45003817697445,4.65706072213191,3.67451989815028,4.16398457065425,31.834474746445,32.7679584598953,32.3029993214268,63.5084645314231,63.5575216419544,63.5330161079189,30.5957842287695,64.355,35.645,16147594503.0603,2534.89827724281,0,FALSE,TRUE,FALSE
"LBR","Liberia",0.8,0.0376,0.5321,39,8.15533772110939,56.5990295410156,104.671043395996,45.5063581466675,25.7561569213867,47.6319770812988,2.4,65.114,63.73,62.347,207.08,247.482,17.6,17.7,17.5,58.5,10,31.4,72.9480309493773,83.6319659891246,61.9620185085871,16.9735176994451,27.7491662717705,5.89319861918721,0.465382708168279,0.340169504368196,3.66199316195611,2.91324549114189,3.28569397416521,40.1502610882082,41.3494975648055,40.7529184542228,56.1877457498357,55.7372569440526,55.961387571612,50.0309073920266,48.385,51.615,0,621.892953622715,1.66080187565293,FALSE,FALSE,TRUE
"LKA","Sri Lanka",3.6,1.0041,2.1803,66,3.81142050027847,159.484741210938,503.563262939453,49.7577965259552,79.3560943603516,250.561965942383,10.7,80.121,76.812,73.415,56.065,151.16,17.4,13.2,22.1,7.5,9.7,82.8,89.4162924258355,96.9488155275818,87.7195969419046,95.7817263595986,94.8190228956474,95.9985807763456,1.96008789287305,1.30171599607756,12.0071658894573,9.57305063852096,10.838805756947,22.7914003195039,25.2186391346388,23.9564620322342,65.2014337910388,65.2083102268402,65.2047322108188,345.558922022006,81.415,18.585,78170570788.8729,3853.08369288942,0.0550382974819979,FALSE,TRUE,FALSE
"LSO","Lesotho",1.3,0.0692,3.2567,48,8.76315832138062,104.552795410156,265.540374755859,16.6426405310631,17.4003448486328,44.1929321289063,4.5,56.954,53.705,50.582,419.363,545.675,26.6,25.2,28.7,59.3,8.3,32.3,68.6499375846189,92.9580234334365,59.3229247899882,42.7543201871743,42.7239405427829,42.7659768570453,1.2067875651035,0.370821341598406,6.22812285637641,3.58645118441443,4.92582582526063,31.9969962583181,32.9502339819685,32.4669171135123,61.7748808853055,63.4633148336171,62.6072570612271,69.437812911726,71.415,28.585,2103868203.80389,1157.53516433147,1.45863956922139,FALSE,FALSE,TRUE
"LTU","Lithuania",7.3,6.3528,9.8472,73,6.45756423473358,1078.17919921875,2132.60913085938,32.2738111019135,347.969543457031,688.274291992188,3.8,80.7,75.6804878048781,70.9,78.821,212.885,20.7,12.4,30.6,3.6,6.6,89.8,97.5420681037655,99.8422178758863,92.76134828978,93.3536351507625,97.311964071314,85.1264919750797,8.33905312597343,3.67433177409385,24.8183937743485,14.7383775814214,20.1584127130225,13.7037017059591,16.8007727518788,15.1354512765674,61.4779045196925,68.4608496666998,64.7061360104101,44.7230757742448,32.145,67.855,48681020855.4768,19455.4541266341,3.08592802467594,FALSE,TRUE,FALSE
"LVA","Latvia",5.8,3.1905,4.7517,71,5.95566183328629,930.352355957031,1682.34423828125,41.9875770807266,390.632446289063,706.375549316406,5,79.7,74.7829268292683,70.1,85.367,228.584,21.9,13.4,32,2.7,5.4,91.8,98.6261823719404,98.8346760736196,98.1816027088036,92.1482658643503,96.2307602532406,83.4429957983842,7.95466916539009,3.13469590454104,25.2657485672517,14.561454664741,20.3365110033182,14.5940092846756,18.3157772442104,16.3077562104594,60.1402421480727,67.1227680910487,63.3557327862224,30.9934705693149,31.778,68.222,29690107388.5803,17836.3648865958,1.77750917639112,FALSE,TRUE,FALSE
"MAR","Morocco",1.1,0.7308,1.3887,70,5.24520017206669,161.010864257813,438.091278076172,53.9362132549286,86.8431625366211,236.289855957031,7,77.668,76.453,75.19,62.159,72.327,12.4,11.3,13.3,14,6.4,79.6,86.7785126631488,96.6540029967518,70.7286368769343,88.5036440702561,94.3550660808197,78.9937773932866,1.46704585192981,0.911172420059555,7.70799767535283,6.8864846156784,7.30045477092159,26.0538461283149,27.8996154493023,26.9695171627129,66.2381561963322,65.2138999350193,65.7300280663655,80.7285189334528,37.006,62.994,103806747879.629,3204.09500313298,3.12844710109893,FALSE,TRUE,FALSE
"MDA","Moldova",5.8,3.2066,4.9235,69,7.0129506289959,191.185775756836,476.731414794922,43.6354845762253,83.4248352050781,208.024063110352,5.7,76.074,71.808,67.53,95.579,237.424,24.9,17.3,33.7,4.2,5.7,90.1,89.0556526526621,97.0135928285046,83.1599639191759,76.3081992337757,86.2470014366663,68.9449767318264,3.09977629060373,1.36971527178602,14.4954189445286,9.31605574843847,12.0131191070183,14.8128868011456,17.059645544955,15.8896910737689,70.6916942543258,73.6242987066065,72.0971898192129,94.018880412443,57.274,42.726,10390354681.7652,4498.52085021233,37.4392740618828,FALSE,TRUE,FALSE
"MDG","Madagascar",0.2,0.1812,0.146,28,5.50203807651997,24.6708374023438,85.4875793457031,24.6854111552238,6.09009790420532,21.1029586791992,4.5,68.301,66.681,65.077,181.739,232.545,22.9,21.5,24.5,46.2,10.6,43.2,54.4039816407791,85.8155985532653,36.3313416029894,10.5067603950822,17.7721038067477,6.32665287002952,0.46255738501523,0.375620803469638,3.2932049764519,2.79375591739167,3.04406412815873,39.898265637308,40.8376123890939,40.3668399784985,56.8085293862401,56.3686316935145,56.5890958933428,45.1398556204881,62.139,37.861,13061558128.7558,522.21980923047,0.711920406408663,FALSE,FALSE,TRUE
