Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year,GID
Norway,NOR,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.058,2018.0,NOR
Oman,OMN,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,OMN
Pakistan,PAK,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.087,2018.0,PAK
Palau,PLW,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,NaN,1960.0,PLW
Panama,PAN,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,PAN
Papua New Guinea,PNG,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.08,2018.0,PNG
Paraguay,PRY,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,PRY
Peru,PER,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,PER
Philippines,PHL,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.06,2018.0,PHL
Poland,POL,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.056,2018.0,POL
Portugal,PRT,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.06,2018.0,PRT
Puerto Rico,PRI,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.053,2018.0,PRI
Qatar,QAT,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.045,2018.0,QAT
Romania,ROU,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.058,2018.0,ROU
Russian Federation,RUS,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.058,2018.0,RUS
Rwanda,RWA,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.024,2018.0,RWA
Samoa,WSM,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.08,2018.0,WSM
San Marino,SMR,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,NaN,1960.0,SMR
Sao Tome and Principe,STP,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.03,2018.0,STP
Saudi Arabia,SAU,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.03,2018.0,SAU
Senegal,SEN,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.036,2018.0,SEN
Serbia,SRB,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.07,2018.0,SRB
Seychelles,SYC,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.06,2018.0,SYC
Sierra Leone,SLE,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.018,2018.0,SLE
Singapore,SGP,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.073,2018.0,SGP
Sint Maarten (Dutch part),SXM,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,NaN,1960.0,SXM
Slovak Republic,SVK,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,SVK
Slovenia,SVN,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.056,2018.0,SVN
Solomon Islands,SLB,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.064,2018.0,SLB
Somalia,SOM,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.03,2018.0,SOM
South Africa,ZAF,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.031,2018.0,ZAF
South Sudan,SSD,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.04,2018.0,SSD
Spain,ESP,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.064,2018.0,ESP
Sri Lanka,LKA,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.04,2018.0,LKA
St. Kitts and Nevis,KNA,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,NaN,1960.0,KNA
St. Lucia,LCA,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.03,2018.0,LCA
St. Martin (French part),MAF,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,NaN,1960.0,MAF
St. Vincent and the Grenadines,VCT,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.03,2018.0,VCT
Sudan,SDN,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.04,2018.0,SDN
Suriname,SUR,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.0759999999999998,2018.0,SUR
Sweden,SWE,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.06,2018.0,SWE
Switzerland,CHE,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.052,2018.0,CHE
Syrian Arab Republic,SYR,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,SYR
Tajikistan,TJK,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.065,2018.0,TJK
Tanzania,TZA,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.03,2018.0,TZA
