Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year,GID
Bhutan,BTN,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.27940500242545,2017.0,BTN
Bhutan,BTN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,2015408146.90732,2017.0,BTN
Bhutan,BTN,GDP per capita (current LCU),NY.GDP.PCAP.CN,221802.95502866802,2018.0,BTN
Bolivia,BOL,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.59444624051247,2017.0,BOL
Bolivia,BOL,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,29443373531.9325,2017.0,BOL
Bolivia,BOL,GDP per capita (current LCU),NY.GDP.PCAP.CN,24520.7578659723,2018.0,BOL
Bosnia and Herzegovina,BIH,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,2.6446942728274503,2017.0,BIH
Bosnia and Herzegovina,BIH,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,15366436363.8888,2017.0,BIH
Bosnia and Herzegovina,BIH,GDP per capita (current LCU),NY.GDP.PCAP.CN,10050.8196775563,2018.0,BIH
Botswana,BWA,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,-2.16785476801479,2017.0,BWA
Botswana,BWA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,13119551415.5023,2017.0,BWA
Botswana,BWA,GDP per capita (current LCU),NY.GDP.PCAP.CN,84231.5380772858,2018.0,BWA
Brazil,BRA,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,0.834743013961358,2017.0,BRA
Brazil,BRA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1745205233145.84,2017.0,BRA
Brazil,BRA,GDP per capita (current LCU),NY.GDP.PCAP.CN,32594.6805778963,2018.0,BRA
British Virgin Islands,VGB,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,NaN,1960.0,VGB
British Virgin Islands,VGB,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,NaN,1960.0,VGB
British Virgin Islands,VGB,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0,VGB
Brunei Darussalam,BRN,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,2.8021799958247406,2017.0,BRN
